,Model,AmazonCounterfactualClassification,ArXivHierarchicalClusteringP2P,ArXivHierarchicalClusteringS2S,ArguAna,AskUbuntuDupQuestions,Banking77Classification,BiorxivClusteringP2P.v2,CQADupstackGamingRetrieval,CQADupstackUnixRetrieval,ClimateFEVERHardNegatives,FiQA2018,HotpotQAHardNegatives,ImdbClassification,MTOPDomainClassification,MassiveIntentClassification,MassiveScenarioClassification,MedrxivClusteringP2P.v2,MedrxivClusteringS2S.v2,MindSmallReranking,SCIDOCS,SICK-R,STS12,STS13,STS14,STS15,STS17,STS22.v2,STSBenchmark,SprintDuplicateQuestions,StackExchangeClustering.v2,StackExchangeClusteringP2P.v2,SummEvalSummarization.v2,TRECCOVID,Touche2020Retrieval.v3,ToxicConversationsClassification,TweetSentimentExtractionClassification,TwentyNewsgroupsClustering.v2,TwitterSemEval2015,TwitterURLCorpus
83,potion-base-8M,70.22385,55.0836,49.2501,41.966,54.13950871400633,72.63636363636363,33.4368,39.235,20.061999999999998,18.724,16.619,39.04,70.78,89.03939999999999,63.9525,70.37845,31.5201,28.3238,29.431722284942175,12.386999999999999,64.6753400763881,62.248985055530525,77.27600787572996,71.914099628002,79.75345871163103,85.96709815630739,63.0796,75.40519061413276,90.20131927652946,50.3733,36.7811,25.064700000000002,45.747,43.816,69.0625,55.387662705149964,33.1746,57.516050924090266,82.13756947863085
84,Squirtle,68.35074999999999,52.7656,51.20980000000001,31.14,52.344372012529384,67.12987012987013,32.8506,31.618000000000002,18.311,11.474,6.425,43.638,74.9528,87.29875,62.051100000000005,67.2465,31.488100000000003,28.3515,30.088514713666076,9.931,77.33681018334157,70.15243619467687,78.41580967540904,74.76063270848232,82.00177922226122,85.85093351857286,61.2002,79.20891358738938,85.53918872229502,48.5537,35.4061,28.585,39.479,15.982,64.47265625,61.79966044142614,29.7541,67.5636169518733,82.9449637573502
85,Venusaur,71.6194,52.23100000000001,49.9912,34.8,53.770982215325056,77.9512987012987,33.1241,31.793,17.574,9.116,11.713,44.157000000000004,73.02000000000001,89.9406,68.47435,72.39439999999999,31.314700000000002,26.7342,29.924796610724826,9.39,74.68461406509039,54.34570729554049,74.24315395719762,69.99484176761607,75.73762657362906,84.81452353756737,62.5649,76.72196352753278,89.43047814044381,44.257999999999996,34.308,25.918799999999997,30.272,33.423,64.4091796875,59.663271080928126,26.426500000000004,69.32917418684202,83.33289584854239
86,LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse,76.91044776119402,,,47.093,55.564312661366564,84.64935064935064,,48.453,30.427,,24.624,,75.6784,94.3296853625171,73.83994620040349,79.17283120376597,,,30.860539801824743,10.001,71.76588896280093,65.3943089429597,79.26435573752327,72.98102120833857,82.72040157931015,86.69902762920725,,78.32422438643496,87.57401607596607,,,,60.672000000000004,,71.8126,57.167515563101304,,65.13897428351787,80.94267715916922
87,LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse,75.70149253731343,,,51.731,57.15639347603191,84.76623376623375,,49.789,32.366,,28.563,,75.1904,94.46876424988601,75.01344989912575,79.15601882985877,,,30.099340785595842,10.388,72.15850185456762,61.59518395985063,79.71131323749228,72.10974664733891,82.17899407125657,85.44343473477939,,77.44151296326804,88.1421623503371,,,,63.343,,71.8488,57.61460101867573,,66.60137415520323,79.29963896460292
88,German_Semantic_STS_V2,66.4254,51.6332,49.7461,28.395,54.2644,77.1234,29.7661,27.994000000000003,16.208,9.623,7.6240000000000006,20.671999999999997,67.22399999999999,83.02465,64.32535,68.46775000000001,29.7785,28.1392,30.0574,6.332,74.191,72.03399999999999,85.03150000000001,81.2143,86.3155,83.3857,60.218199999999996,82.56400000000001,84.5699,48.3474,32.3905,30.884099999999997,28.34,15.754999999999999,58.291000000000004,55.9593,31.915399999999998,60.905100000000004,81.50840000000001
89,potion-base-4M,66.65675,53.420100000000005,49.7568,39.449,53.803562861722696,69.69480519480518,31.5656,35.807,17.681,16.775000000000002,14.184,35.711999999999996,70.78880000000001,85.69595000000001,60.788799999999995,67.02974999999999,31.8408,28.189700000000002,29.025211119858856,10.975999999999999,63.98613448451591,62.37621006422606,76.81750749576634,70.98200491385815,78.66432028882325,84.49159199501017,63.357699999999994,74.28444387078392,89.87404753184795,50.914,37.3873,23.8178,43.236000000000004,40.013,67.724609375,54.20486700622524,32.6877,55.411799272092175,80.81688006755317
90,LaBSE,74.08208955223881,53.44270249920056,49.98606448922311,34.178,52.74554205247115,69.85064935064935,32.42786213317429,29.622999999999998,21.336,6.142,6.999,26.096000000000004,62.041999999999994,85.83116199499933,61.61479832924863,66.29462225663903,33.751448738791176,29.270161224488213,29.806630577685482,5.632000000000001,69.99188482038213,65.08166563535988,67.97543550218779,64.03144384844788,76.59341752268844,79.4489242794021,61.62746263388221,72.25055941558153,89.26375293062657,30.233366371330895,35.30287908721971,33.272319069377396,16.339000000000002,16.569,63.23730468749999,58.82569326542162,24.19320748154697,62.77629953322184,84.58219134995363
91,M2V_base_glove,65.56715,53.4444,45.6268,33.774,52.88598975544666,72.38961038961038,34.664699999999996,33.79,16.589000000000002,17.515,11.824,35.742000000000004,66.998,84.02715,61.45069999999999,65.62125,32.0937,27.6254,28.832500600750205,11.145,64.66033328975722,64.63642414925371,77.9790218678965,70.08415685571369,78.77945492051583,82.82381067886578,59.2087,68.90568918705054,87.93890477556427,42.0781,34.3712,29.969099999999997,50.293,38.803,67.6025390625,50.019807583474815,26.4028,58.60727455967692,79.47942287203573
92,LaBSE-en-ru,74.32835,51.546400000000006,50.8431,31.91,53.018600000000006,69.6006,31.611099999999997,28.721999999999998,20.427,5.042,6.804,23.962,62.8684,85.2965,60.788867512539404,65.27377292825739,32.685199999999995,27.8925,29.2215,4.96,69.1298,65.15570000000001,67.6614,63.3248,76.2084,79.4837,59.4673,71.9106,88.5328,42.182199999999995,34.6507,32.8761,14.896,15.981000000000002,60.2588,57.753299999999996,22.2022,60.6127,84.0376
